"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","3,434.21","3,443.77","3,449.53","3,430.08","","-0.57%"
"03/21/2024","3,453.92","3,439.64","3,459.28","3,429.09","","1.08%"
"03/20/2024","3,416.97","3,376.64","3,421.49","3,375.42","","1.12%"
"03/19/2024","3,379.21","3,413.24","3,413.84","3,377.84","","-1.46%"
"03/15/2024","3,429.20","3,430.43","3,440.92","3,410.25","","0.28%"
"03/14/2024","3,419.47","3,385.79","3,420.38","3,369.16","","1.29%"
"03/13/2024","3,375.78","3,376.76","3,399.48","3,371.90","","0.21%"
"03/12/2024","3,368.57","3,375.47","3,386.60","3,347.66","","0.09%"
"03/11/2024","3,365.62","3,456.17","3,458.65","3,365.62","","-2.68%"
"03/08/2024","3,458.14","3,443.70","3,466.40","3,437.34","","0.22%"
"03/07/2024","3,450.45","3,480.78","3,485.13","3,435.25","","-0.70%"
"03/06/2024","3,474.79","3,464.43","3,480.08","3,460.14","","0.18%"
"03/05/2024","3,468.60","3,485.39","3,495.52","3,468.60","","-0.64%"
"03/04/2024","3,490.83","3,464.33","3,495.30","3,464.33","","1.05%"
"03/01/2024","3,454.66","3,458.26","3,468.91","3,449.68","","-0.25%"
"02/29/2024","3,463.35","3,421.29","3,463.35","3,421.29","","1.30%"
"02/28/2024","3,418.94","3,426.54","3,438.85","3,392.69","","-0.36%"
"02/27/2024","3,431.28","3,428.88","3,444.08","3,414.67","","-0.03%"
"02/26/2024","3,432.29","3,430.47","3,437.22","3,426.03","","-0.01%"
"02/23/2024","3,432.59","3,454.25","3,456.52","3,429.09","","-0.42%"
"02/22/2024","3,447.21","3,463.22","3,475.74","3,442.16","","-0.08%"
"02/21/2024","3,450.11","3,452.39","3,456.68","3,435.64","","-0.41%"
"02/20/2024","3,464.26","3,459.94","3,467.79","3,447.55","","0.05%"
"02/19/2024","3,462.47","3,420.11","3,463.26","3,407.76","","1.40%"
"02/16/2024","3,414.72","3,427.26","3,442.84","3,403.59","","0.04%"
"02/15/2024","3,413.24","3,434.97","3,446.06","3,398.19","","-0.33%"
"02/14/2024","3,424.64","3,369.03","3,427.10","3,363.04","","1.62%"
"02/13/2024","3,369.90","3,392.82","3,399.80","3,366.41","","-0.75%"
"02/12/2024","3,395.27","3,411.20","3,425.95","3,384.83","","-0.38%"
"02/09/2024","3,408.07","3,427.68","3,435.80","3,407.66","","-0.26%"
"02/08/2024","3,416.83","3,401.29","3,421.99","3,380.52","","0.45%"
"02/07/2024","3,401.51","3,430.62","3,436.72","3,368.97","","-0.77%"
"02/06/2024","3,427.98","3,418.47","3,430.42","3,399.25","","0.52%"
"02/05/2024","3,410.18","3,388.67","3,414.72","3,374.48","","0.96%"
"02/02/2024","3,377.61","3,372.19","3,396.91","3,372.19","","0.58%"
"02/01/2024","3,358.20","3,327.09","3,358.20","3,315.90","","0.96%"
"01/31/2024","3,326.15","3,300.50","3,357.61","3,300.50","","1.01%"
"01/30/2024","3,293.03","3,281.95","3,302.60","3,270.36","","0.31%"
"01/29/2024","3,282.81","3,308.57","3,308.57","3,278.39","","-0.86%"
"01/26/2024","3,311.19","3,284.53","3,311.19","3,273.69","","0.58%"
"01/25/2024","3,292.22","3,320.71","3,322.47","3,272.19","","-0.87%"
"01/24/2024","3,321.20","3,307.52","3,322.82","3,302.07","","0.62%"
"01/23/2024","3,300.88","3,297.55","3,315.76","3,289.10","","0.09%"
"01/22/2024","3,298.03","3,265.82","3,298.03","3,262.30","","1.05%"
"01/19/2024","3,263.78","3,266.80","3,281.58","3,249.46","","0.12%"
"01/18/2024","3,259.94","3,231.15","3,268.41","3,231.15","","0.87%"
"01/17/2024","3,231.70","3,219.00","3,253.16","3,200.60","","-0.08%"
"01/16/2024","3,234.43","3,278.13","3,278.13","3,233.55","","-1.59%"
"01/15/2024","3,286.84","3,279.91","3,290.24","3,260.40","","0.04%"
"01/12/2024","3,285.46","3,278.37","3,285.46","3,249.92","","0.51%"
"01/11/2024","3,268.84","3,269.02","3,281.66","3,265.77","","0.38%"
"01/10/2024","3,256.53","3,242.15","3,257.40","3,234.93","","0.42%"
"01/09/2024","3,243.07","3,219.54","3,261.57","3,218.90","","0.82%"
"01/08/2024","3,216.61","3,174.80","3,216.61","3,163.73","","1.56%"
"01/05/2024","3,167.34","3,164.48","3,168.37","3,142.29","","0.00%"
"01/04/2024","3,167.24","3,145.96","3,169.01","3,142.36","","0.75%"
"01/03/2024","3,143.65","3,161.42","3,163.22","3,136.72","","-0.59%"
"01/02/2024","3,162.15","3,131.93","3,171.64","3,131.93","","1.26%"
"12/29/2023","3,122.79","3,100.99","3,134.76","3,100.99","","0.67%"
"12/28/2023","3,101.87","3,125.74","3,130.95","3,095.33","","-0.60%"
"12/27/2023","3,120.70","3,120.71","3,136.14","3,112.43","","0.21%"
"12/22/2023","3,114.08","3,130.50","3,134.62","3,109.60","","-0.74%"
"12/21/2023","3,137.34","3,153.49","3,153.49","3,134.18","","-0.50%"
"12/20/2023","3,152.96","3,146.80","3,158.93","3,140.54","","0.31%"
"12/19/2023","3,143.29","3,109.50","3,154.87","3,109.50","","0.98%"
"12/18/2023","3,112.84","3,113.60","3,120.49","3,106.27","","-0.25%"
"12/15/2023","3,120.73","3,136.47","3,142.91","3,110.58","","-0.44%"
"12/14/2023","3,134.44","3,149.38","3,162.77","3,132.68","","0.04%"
"12/13/2023","3,133.28","3,107.50","3,135.01","3,107.50","","0.96%"
"12/12/2023","3,103.42","3,081.93","3,108.11","3,078.67","","0.85%"
"12/11/2023","3,077.32","3,080.97","3,086.36","3,070.23","","-0.05%"
"12/08/2023","3,078.97","3,067.78","3,078.97","3,059.31","","0.23%"
"12/07/2023","3,071.96","3,075.31","3,084.06","3,065.18","","-0.16%"
"12/06/2023","3,076.98","3,082.84","3,089.94","3,068.47","","-0.09%"
"12/05/2023","3,079.83","3,086.51","3,096.51","3,043.70","","-0.44%"
"12/04/2023","3,093.41","3,127.25","3,127.60","3,091.21","","-0.67%"
"12/01/2023","3,114.37","3,102.32","3,118.89","3,097.22","","0.06%"
"11/30/2023","3,112.62","3,101.04","3,112.62","3,089.52","","0.54%"
"11/29/2023","3,096.01","3,087.67","3,100.99","3,083.23","","0.39%"
"11/28/2023","3,084.05","3,073.76","3,086.90","3,060.00","","0.21%"
"11/27/2023","3,077.47","3,075.30","3,087.58","3,057.07","","0.26%"
"11/24/2023","3,069.56","3,072.34","3,076.88","3,049.72","","-0.15%"
"11/23/2023","3,074.15","3,063.74","3,074.91","3,055.58","","0.08%"
"11/22/2023","3,071.68","3,045.61","3,071.77","3,031.77","","1.21%"
"11/21/2023","3,034.91","3,054.81","3,072.05","3,031.81","","-0.34%"
"11/20/2023","3,045.36","3,054.63","3,074.69","3,033.68","","-0.11%"
"11/17/2023","3,048.64","3,010.11","3,088.25","3,010.11","","1.19%"
"11/16/2023","3,012.78","3,012.15","3,023.12","2,997.45","","-0.05%"
"11/15/2023","3,014.22","3,011.10","3,019.72","2,991.01","","0.23%"
"11/14/2023","3,007.34","2,929.65","3,012.71","2,925.84","","2.87%"
"11/13/2023","2,923.54","2,924.91","2,934.27","2,898.47","","0.10%"
"11/10/2023","2,920.53","2,960.22","2,961.71","2,912.81","","-1.42%"
"11/09/2023","2,962.70","2,992.08","2,999.56","2,950.08","","-1.02%"
"11/08/2023","2,993.33","3,002.72","3,010.48","2,979.17","","-0.12%"
"11/07/2023","2,996.85","3,025.20","3,032.77","2,992.33","","-1.02%"
"11/06/2023","3,027.61","3,000.98","3,027.61","3,000.98","","1.56%"
"11/03/2023","2,981.22","3,000.22","3,019.87","2,973.82","","-0.02%"
"11/02/2023","2,981.76","2,940.00","2,981.76","2,930.06","","1.85%"
"11/01/2023","2,927.62","2,931.24","2,942.88","2,911.71","","0.00%"
"10/31/2023","2,927.62","2,910.37","2,937.33","2,910.37","","0.44%"
"10/30/2023","2,914.75","2,916.16","2,921.30","2,897.22","","0.53%"
"10/27/2023","2,899.42","2,913.50","2,933.39","2,891.13","","-0.17%"
"10/26/2023","2,904.39","2,903.85","2,920.40","2,880.90","","-0.77%"
"10/25/2023","2,926.95","2,962.57","2,966.55","2,924.77","","-0.96%"
"10/24/2023","2,955.24","2,901.66","2,960.93","2,901.66","","2.51%"
"10/23/2023","2,882.97","2,899.15","2,931.64","2,882.97","","-0.06%"
"10/20/2023","2,884.56","2,864.26","2,891.61","2,853.94","","-0.04%"
"10/19/2023","2,885.64","2,874.15","2,903.79","2,865.47","","0.06%"
"10/18/2023","2,883.83","2,843.49","2,897.54","2,841.16","","0.89%"
"10/17/2023","2,858.26","2,873.57","2,919.29","2,846.62","","-0.31%"
"10/16/2023","2,867.07","2,837.08","2,879.35","2,827.54","","0.46%"
"10/13/2023","2,853.81","2,878.40","2,891.52","2,832.73","","-1.17%"
"10/12/2023","2,887.66","2,896.20","2,953.00","2,876.99","","0.42%"
"10/11/2023","2,875.69","2,836.26","2,886.47","2,830.71","","1.36%"
"10/10/2023","2,836.99","2,729.64","2,854.77","2,729.64","","4.80%"
"10/09/2023","2,707.03","2,728.22","2,750.64","2,689.60","","-2.04%"
"10/06/2023","2,763.36","2,809.80","2,833.57","2,760.04","","-1.59%"
"10/05/2023","2,808.06","2,844.36","2,855.27","2,805.44","","-1.13%"
"10/04/2023","2,840.16","2,806.58","2,854.95","2,793.17","","0.53%"
"10/03/2023","2,825.31","2,876.06","2,896.93","2,822.07","","-1.98%"
"10/02/2023","2,882.30","2,934.59","2,956.38","2,882.11","","-1.74%"
"09/29/2023","2,933.29","2,900.31","2,943.64","2,891.18","","1.37%"
"09/28/2023","2,893.56","2,929.67","2,940.30","2,880.40","","-1.27%"
"09/27/2023","2,930.83","2,975.62","3,004.31","2,916.31","","-1.65%"
"09/26/2023","2,979.86","2,955.50","2,990.65","2,952.42","","0.16%"
"09/25/2023","2,975.16","2,992.22","3,043.01","2,975.11","","0.07%"
"09/22/2023","2,973.19","2,922.22","2,981.89","2,922.22","","1.91%"
"09/21/2023","2,917.40","2,905.47","2,935.80","2,878.70","","0.30%"
"09/20/2023","2,908.68","2,993.33","3,015.35","2,900.46","","-2.66%"
"09/19/2023","2,988.03","3,048.24","3,069.36","2,968.30","","-2.08%"
"09/18/2023","3,051.45","3,076.98","3,088.89","3,042.87","","-0.36%"
"09/15/2023","3,062.45","3,010.39","3,070.04","3,010.39","","2.43%"
"09/14/2023","2,989.67","2,959.70","2,991.29","2,936.90","","0.82%"
"09/13/2023","2,965.43","3,023.92","3,024.51","2,948.33","","-1.76%"
"09/12/2023","3,018.42","3,030.35","3,054.56","2,988.55","","-0.26%"
"09/11/2023","3,026.30","3,093.56","3,119.18","3,013.15","","-0.88%"
"09/08/2023","3,053.25","3,022.92","3,066.83","2,989.83","","1.03%"
"09/07/2023","3,022.17","3,085.43","3,085.58","3,008.21","","-1.86%"
"09/06/2023","3,079.32","3,091.27","3,096.98","3,058.68","","-0.21%"
"09/05/2023","3,085.85","3,064.48","3,109.19","3,044.51","","0.83%"
"09/04/2023","3,060.34","3,159.68","3,170.55","3,059.88","","-2.92%"
"09/01/2023","3,152.47","3,191.70","3,196.81","3,145.34","","-0.93%"
"08/31/2023","3,182.11","3,211.95","3,219.68","3,181.89","","-0.48%"
